nhm_id,time,min,max,mean,median,sum,area
84662,2016-01-01,1.0,15.0,8.202,9.0,5817.047,141.093
84662,2016-02-01,3.0,23.0,15.498,15.0,10991.29,141.093
84662,2016-03-01,15.0,42.0,27.847,27.0,19748.918,141.093
84662,2016-04-01,16.0,47.0,32.658,33.0,23160.871,141.093
84662,2016-05-01,48.0,104.0,83.462,86.0,59190.659,141.093
84662,2016-06-01,62.0,165.0,150.296,157.0,106589.522,141.093
84662,2016-07-01,69.0,165.0,146.136,148.0,103638.922,141.093
84662,2016-08-01,72.0,131.0,121.744,125.0,86340.557,141.093
84662,2016-09-01,35.0,112.0,96.463,100.0,68410.98,141.093
84662,2016-10-01,36.0,77.0,63.751,65.0,45212.102,141.093
84662,2016-11-01,10.0,29.0,23.319,24.0,16537.706,141.093
84662,2016-12-01,3.0,20.0,10.733,11.0,7611.737,141.093
84665,2016-01-01,1.0,12.0,5.079,4.0,592.275,27.888
84665,2016-02-01,2.0,23.0,10.213,9.0,1190.82,27.888
84665,2016-03-01,15.0,38.0,24.515,24.0,2858.498,27.888
84665,2016-04-01,21.0,46.0,36.826,39.0,4294.024,27.888
84665,2016-05-01,60.0,98.0,78.471,79.0,9150.039,27.888
84665,2016-06-01,87.0,159.0,139.463,144.0,16261.961,27.888
84665,2016-07-01,87.0,146.0,125.446,131.0,14627.549,27.888
84665,2016-08-01,83.0,127.0,110.688,115.0,12906.624,27.888
84665,2016-09-01,60.0,102.0,82.797,84.0,9654.506,27.888
84665,2016-10-01,53.0,71.0,63.447,64.0,7398.129,27.888
84665,2016-11-01,16.0,30.0,24.359,25.0,2840.388,27.888
84665,2016-12-01,5.0,16.0,10.448,10.0,1218.251,27.888
84666,2016-01-01,2.0,17.0,9.678,9.0,2768.0,52.474
84666,2016-02-01,10.0,26.0,18.899,18.0,5405.0,52.474
84666,2016-03-01,26.0,36.0,30.129,30.0,8617.0,52.474
84666,2016-04-01,3.0,62.0,34.766,38.0,9943.0,52.474
84666,2016-05-01,21.0,78.0,56.797,58.0,16244.0,52.474
84666,2016-06-01,83.0,129.0,105.979,105.0,30310.0,52.474
84666,2016-07-01,104.0,141.0,126.182,128.0,36088.0,52.474
84666,2016-08-01,44.0,84.0,66.105,69.0,18906.0,52.474
84666,2016-09-01,19.0,66.0,41.958,41.0,12000.0,52.474
84666,2016-10-01,19.0,62.0,34.014,33.0,9728.0,52.474
84666,2016-11-01,7.0,23.0,14.07,13.0,4024.0,52.474
84666,2016-12-01,0.0,16.0,9.566,11.0,2736.0,52.474
84667,2016-01-01,2.317,19.707,6.365,4.463,3822.252,183.109
84667,2016-02-01,5.463,30.391,10.826,7.463,7068.179,183.109
84667,2016-03-01,21.146,59.196,31.513,29.707,22494.581,183.109
84667,2016-04-01,32.587,83.271,53.142,51.417,40876.451,183.109
84667,2016-05-01,74.076,130.709,101.002,100.222,76112.565,183.109
84667,2016-06-01,88.317,166.685,140.795,142.856,102444.86,183.109
84667,2016-07-01,77.463,166.906,124.31,126.953,90204.85,183.109
84667,2016-08-01,67.124,125.443,101.882,102.906,77498.646,183.109
84667,2016-09-01,42.465,111.419,86.139,87.174,66594.483,183.109
84667,2016-10-01,34.074,72.709,55.346,55.148,42216.07,183.109
84667,2016-11-01,12.439,35.367,21.962,22.122,15960.248,183.109
84667,2016-12-01,3.878,23.561,12.461,11.731,8449.716,183.109
84668,2016-01-01,2.689,16.311,7.399,8.115,2581.94,86.233
84668,2016-02-01,8.689,34.702,21.576,21.196,8010.018,86.233
84668,2016-03-01,26.885,75.715,49.752,51.013,18702.823,86.233
84668,2016-04-01,47.026,81.898,70.367,70.921,26600.07,86.233
84668,2016-05-01,76.991,122.026,107.522,109.164,40679.749,86.233
84668,2016-06-01,95.115,183.532,146.897,146.209,54104.053,86.233
84668,2016-07-01,88.953,179.14,143.044,144.243,52311.808,86.233
84668,2016-08-01,69.391,136.762,114.945,115.313,43120.605,86.233
84668,2016-09-01,45.736,119.566,93.245,93.06,35086.234,86.233
84668,2016-10-01,28.655,85.013,62.177,63.391,22912.832,86.233
84668,2016-11-01,10.54,39.736,26.81,26.138,9951.19,86.233
84668,2016-12-01,10.77,25.196,16.241,15.54,5993.819,86.233
84669,2016-01-01,1.0,16.0,7.015,7.0,27725.212,731.333
84669,2016-02-01,2.0,27.0,12.929,14.0,51095.345,731.333
84669,2016-03-01,14.0,53.0,30.085,30.0,118897.216,731.333
84669,2016-04-01,18.0,70.0,36.226,35.0,143168.522,731.333
84669,2016-05-01,41.0,111.0,82.95,85.0,327825.573,731.333
84669,2016-06-01,48.0,165.0,127.632,129.0,504412.769,731.333
84669,2016-07-01,58.0,162.0,132.67,136.0,524324.627,731.333
84669,2016-08-01,47.0,127.0,96.795,97.0,382543.204,731.333
84669,2016-09-01,24.0,112.0,74.767,73.0,295485.667,731.333
84669,2016-10-01,16.0,77.0,51.551,52.0,203732.906,731.333
84669,2016-11-01,7.0,29.0,18.255,18.0,72145.294,731.333
84669,2016-12-01,2.0,18.0,6.112,5.0,24153.831,731.333
84670,2016-01-01,3.0,17.0,9.663,10.0,30115.58,572.076
84670,2016-02-01,11.0,25.0,15.477,15.0,48235.557,572.076
84670,2016-03-01,10.0,52.0,24.913,24.0,77643.796,572.076
84670,2016-04-01,17.0,88.0,43.31,45.0,134977.09,572.076
84670,2016-05-01,32.0,114.0,79.864,79.0,248901.102,572.076
84670,2016-06-01,44.0,169.0,132.542,135.0,413074.678,572.076
84670,2016-07-01,30.0,160.0,108.478,114.0,338075.294,572.076
84670,2016-08-01,44.0,130.0,92.146,94.0,287175.902,572.076
84670,2016-09-01,19.0,102.0,55.502,56.0,172975.545,572.076
84670,2016-10-01,19.0,83.0,44.678,47.0,139240.914,572.076
84670,2016-11-01,7.0,32.0,16.271,17.0,50710.808,572.076
84670,2016-12-01,2.0,22.0,7.132,6.0,22226.012,572.076
84675,2016-01-01,2.0,16.0,8.976,9.0,12108.71,248.609
84675,2016-02-01,12.0,28.0,20.128,21.0,27151.682,248.609
84675,2016-03-01,21.0,64.0,37.208,37.0,50191.424,248.609
84675,2016-04-01,23.0,72.0,42.502,43.0,57333.125,248.609
84675,2016-05-01,37.0,99.0,70.66,71.0,95316.082,248.609
84675,2016-06-01,67.0,158.0,129.227,131.0,174319.596,248.609
